type_kernel	 time_with_gcc	 time_with_openmp	 speedup
kernels 	8.96242 	0.088319 	101.477824704
kernels 	44.6566564 	0.3621558 	123.307859214
kernels 	0.0338464 	0.0354212 	0.955540749608
kernels 	0.0138468 	0.0099972 	1.38506781899
kernels 	0.0532854 	0.010753 	4.95539849344
blas 	72.2811422 	3.5261168 	20.4987940842
blas 	0.2820046 	0.2519726 	1.11918756246
blas 	0.0055474 	0.00774 	0.716718346253
blas 	990.0630312 	3.7722588 	262.458936062
blas 	15.7806236 	0.1276144 	123.658643539
blas 	394.8569424 	3.4269662 	115.220553503
blas 	16.4724064 	0.1101892 	149.492022812
solvers 	4.2275068 	0.2104798 	20.0850951018
solvers 	18.529139 	0.1791364 	103.435923687
solvers 	21.441604 	0.5266362 	40.7142615718
solvers 	20.9940336 	0.2287442 	91.7795231529
solvers 	0.0099062 	0.0108136 	0.916087149515
